date,symbol,open_interest,source
2026-01-17,BTC,32722.28514,Hyperliquid
2026-01-17,ETH,1009895.5061999998,Hyperliquid
2026-01-18,BTC,32199.15468,Hyperliquid
2026-01-18,ETH,1017371.1906000004,Hyperliquid
2026-01-19,BTC,31493.85576,Hyperliquid
2026-01-19,ETH,1027133.6347999997,Hyperliquid
2026-01-20,BTC,30602.32854,Hyperliquid
2026-01-20,ETH,1070630.1047999996,Hyperliquid
2026-01-21,BTC,32152.7466400001,Hyperliquid
2026-01-21,ETH,935686.7451999998,Hyperliquid
2026-01-22,BTC,27934.02776,Hyperliquid
2026-01-22,ETH,1123272.7183999992,Hyperliquid
